,Date,event_type,fatalities,event_id_cnty
0,2020-12-14,Battles,7,3
1,2020-12-14,Explosions/Remote violence,1,10
2,2020-12-14,Violence against civilians,7,11
3,2020-12-15,Battles,2,1
4,2020-12-15,Violence against civilians,0,1
5,2021-01-06,Battles,8,13
6,2021-01-06,Violence against civilians,18,15
7,2021-01-11,Battles,187,147
8,2021-01-11,Explosions/Remote violence,46,67
9,2021-01-11,Violence against civilians,265,253
10,2021-01-12,Battles,7,9
11,2021-01-12,Explosions/Remote violence,3,10
12,2021-01-12,Violence against civilians,16,27
13,2021-01-14,Violence against civilians,0,1
14,2021-01-18,Battles,38,45
15,2021-01-18,Explosions/Remote violence,9,28
16,2021-01-18,Violence against civilians,75,77
17,2021-01-19,Battles,16,68
18,2021-01-19,Explosions/Remote violence,1,2
19,2021-01-19,Violence against civilians,5,7
20,2021-01-25,Battles,22,50
21,2021-01-25,Explosions/Remote violence,11,23
22,2021-01-25,Violence against civilians,81,88
23,2021-01-26,Battles,5,2
24,2021-01-26,Explosions/Remote violence,0,2
25,2021-01-26,Violence against civilians,8,8
26,2021-02-01,Battles,27,58
27,2021-02-01,Explosions/Remote violence,5,17
28,2021-02-01,Violence against civilians,55,64
29,2021-02-02,Battles,2,4
30,2021-02-02,Explosions/Remote violence,2,2
31,2021-02-02,Violence against civilians,10,11
32,2021-02-05,Battles,131,94
33,2021-02-05,Explosions/Remote violence,1,2
34,2021-02-05,Violence against civilians,602,448
35,2021-02-08,Battles,68,70
36,2021-02-08,Explosions/Remote violence,23,21
37,2021-02-08,Violence against civilians,203,169
38,2021-02-09,Battles,3,3
39,2021-02-09,Explosions/Remote violence,1,2
40,2021-02-09,Violence against civilians,4,4
41,2021-02-10,Battles,1,7
42,2021-02-10,Explosions/Remote violence,0,2
43,2021-02-10,Violence against civilians,1,2
44,2021-02-15,Battles,62,87
45,2021-02-15,Explosions/Remote violence,6,23
46,2021-02-15,Violence against civilians,172,149
47,2021-02-16,Battles,3,7
48,2021-02-16,Explosions/Remote violence,1,3
49,2021-02-16,Violence against civilians,8,9
50,2021-02-17,Violence against civilians,0,1
51,2021-02-22,Battles,49,66
52,2021-02-22,Explosions/Remote violence,6,21
53,2021-02-22,Violence against civilians,200,169
54,2021-02-23,Battles,6,4
55,2021-02-23,Explosions/Remote violence,1,2
56,2021-02-23,Violence against civilians,3,6
57,2021-03-01,Battles,37,77
