,Date,event_type,country,fatalities,event_id_cnty
0,2020-12-14,Battles,Colombia,3,1
1,2020-12-14,Battles,Morocco,3,1
2,2020-12-14,Battles,Turkey,1,1
3,2020-12-14,Explosions/Remote violence,Afghanistan,1,1
4,2020-12-14,Explosions/Remote violence,Egypt,0,1
5,2020-12-14,Explosions/Remote violence,Turkey,0,2
6,2020-12-14,Explosions/Remote violence,Yemen,0,6
7,2020-12-14,Violence against civilians,Afghanistan,1,1
8,2020-12-14,Violence against civilians,Burundi,0,1
9,2020-12-14,Violence against civilians,Colombia,1,1
10,2020-12-14,Violence against civilians,Haiti,0,1
11,2020-12-14,Violence against civilians,Ivory Coast,0,1
12,2020-12-14,Violence against civilians,Nicaragua,0,1
13,2020-12-14,Violence against civilians,Nigeria,2,2
14,2020-12-14,Violence against civilians,Puerto Rico,1,1
15,2020-12-14,Violence against civilians,Somalia,1,1
16,2020-12-14,Violence against civilians,Trinidad and Tobago,1,1
17,2020-12-15,Battles,India,2,1
18,2020-12-15,Violence against civilians,India,0,1
19,2021-01-06,Battles,Brazil,8,13
20,2021-01-06,Violence against civilians,Brazil,18,15
21,2021-01-11,Battles,Brazil,74,95
22,2021-01-11,Battles,Central African Republic,1,2
23,2021-01-11,Battles,Chad,37,3
24,2021-01-11,Battles,Colombia,2,3
25,2021-01-11,Battles,Egypt,1,1
26,2021-01-11,Battles,El Salvador,13,11
27,2021-01-11,Battles,Guinea-Bissau,4,1
28,2021-01-11,Battles,Iran,0,1
29,2021-01-11,Battles,Ivory Coast,8,2
30,2021-01-11,Battles,Jamaica,3,3
31,2021-01-11,Battles,Lebanon,0,1
32,2021-01-11,Battles,Liberia,0,1
33,2021-01-11,Battles,Mali,1,2
34,2021-01-11,Battles,Nigeria,12,5
35,2021-01-11,Battles,Puerto Rico,2,1
36,2021-01-11,Battles,Somalia,6,5
37,2021-01-11,Battles,South Sudan,13,3
38,2021-01-11,Battles,Sudan,0,1
39,2021-01-11,Battles,Trinidad and Tobago,4,3
40,2021-01-11,Battles,Turkey,5,1
41,2021-01-11,Battles,Yemen,1,2
42,2021-01-11,Explosions/Remote violence,Afghanistan,32,8
43,2021-01-11,Explosions/Remote violence,Egypt,1,4
44,2021-01-11,Explosions/Remote violence,Somalia,13,4
45,2021-01-11,Explosions/Remote violence,Turkey,0,7
46,2021-01-11,Explosions/Remote violence,Yemen,0,44
47,2021-01-11,Violence against civilians,Afghanistan,9,6
48,2021-01-11,Violence against civilians,Angola,0,1
49,2021-01-11,Violence against civilians,Botswana,0,1
50,2021-01-11,Violence against civilians,Brazil,131,129
51,2021-01-11,Violence against civilians,Burundi,15,9
52,2021-01-11,Violence against civilians,Central African Republic,0,1
53,2021-01-11,Violence against civilians,Chile,0,1
54,2021-01-11,Violence against civilians,Colombia,2,4
55,2021-01-11,Violence against civilians,El Salvador,9,9
56,2021-01-11,Violence against civilians,Ethiopia,1,1
57,2021-01-11,Violence against civilians,Ghana,1,1
58,2021-01-11,Violence against civilians,Iran,2,5
59,2021-01-11,Violence against civilians,Ivory Coast,0,1
60,2021-01-11,Violence against civilians,Jamaica,7,2
61,2021-01-11,Violence against civilians,Lebanon,0,1
62,2021-01-11,Violence against civilians,Nicaragua,0,6
63,2021-01-11,Violence against civilians,Nigeria,57,37
64,2021-01-11,Violence against civilians,Palestine,0,2
65,2021-01-11,Violence against civilians,Panama,1,1
66,2021-01-11,Violence against civilians,Puerto Rico,2,4
67,2021-01-11,Violence against civilians,Republic of Congo,0,1
68,2021-01-11,Violence against civilians,Somalia,9,8
69,2021-01-11,Violence against civilians,South Sudan,9,7
70,2021-01-11,Violence against civilians,Sudan,2,3
71,2021-01-11,Violence against civilians,Trinidad and Tobago,4,6
72,2021-01-11,Violence against civilians,Turkey,0,2
73,2021-01-11,Violence against civilians,Venezuela,1,1
74,2021-01-11,Violence against civilians,Yemen,3,3
75,2021-01-12,Battles,Greece,0,1
76,2021-01-12,Battles,India,7,8
77,2021-01-12,Explosions/Remote violence,India,1,6
78,2021-01-12,Explosions/Remote violence,Pakistan,2,4
79,2021-01-12,Violence against civilians,Bangladesh,4,6
80,2021-01-12,Violence against civilians,India,9,17
81,2021-01-12,Violence against civilians,Kosovo,0,1
82,2021-01-12,Violence against civilians,Myanmar,1,1
83,2021-01-12,Violence against civilians,Philippines,2,2
84,2021-01-14,Violence against civilians,Poland,0,1
85,2021-01-18,Battles,Azerbaijan,0,1
86,2021-01-18,Battles,Brazil,20,27
87,2021-01-18,Battles,Burundi,0,3
88,2021-01-18,Battles,Colombia,0,1
89,2021-01-18,Battles,Egypt,1,1
90,2021-01-18,Battles,El Salvador,4,4
91,2021-01-18,Battles,Guyana,0,1
92,2021-01-18,Battles,Puerto Rico,0,1
93,2021-01-18,Battles,Somalia,9,3
94,2021-01-18,Battles,Trinidad and Tobago,2,1
95,2021-01-18,Battles,Turkey,1,1
96,2021-01-18,Battles,Venezuela,1,1
97,2021-01-18,Explosions/Remote violence,Afghanistan,6,9
98,2021-01-18,Explosions/Remote violence,Djibouti,1,1
99,2021-01-18,Explosions/Remote violence,Egypt,1,2
100,2021-01-18,Explosions/Remote violence,Kenya,0,1
101,2021-01-18,Explosions/Remote violence,Somalia,0,1
102,2021-01-18,Explosions/Remote violence,Turkey,0,1
103,2021-01-18,Explosions/Remote violence,Yemen,1,13
104,2021-01-18,Violence against civilians,Brazil,44,41
105,2021-01-18,Violence against civilians,Burundi,2,3
106,2021-01-18,Violence against civilians,Colombia,2,1
107,2021-01-18,Violence against civilians,Cuba,0,1
108,2021-01-18,Violence against civilians,El Salvador,5,5
109,2021-01-18,Violence against civilians,Guatemala,1,1
110,2021-01-18,Violence against civilians,Haiti,0,2
111,2021-01-18,Violence against civilians,Iran,0,1
112,2021-01-18,Violence against civilians,Kenya,0,1
113,2021-01-18,Violence against civilians,Nicaragua,1,1
114,2021-01-18,Violence against civilians,Nigeria,11,8
115,2021-01-18,Violence against civilians,Puerto Rico,3,3
116,2021-01-18,Violence against civilians,Somalia,3,3
117,2021-01-18,Violence against civilians,Sudan,2,3
118,2021-01-18,Violence against civilians,Tunisia,0,1
119,2021-01-18,Violence against civilians,Turkey,0,1
120,2021-01-18,Violence against civilians,Yemen,1,1
121,2021-01-19,Battles,Bangladesh,1,1
122,2021-01-19,Battles,Brazil,12,65
123,2021-01-19,Battles,India,1,1
124,2021-01-19,Battles,Indonesia,2,1
125,2021-01-19,Explosions/Remote violence,India,0,1
126,2021-01-19,Explosions/Remote violence,Myanmar,1,1
