"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNWD","TMAX","TMIN"
"BE000006447","50.8","4.35","104.0","1987-01-01","0.59",,"51","45"
"BE000006447","50.8","4.35","104.0","1987-01-02","0.04",,"44","42"
"BE000006447","50.8","4.35","104.0","1987-01-03","0.06","0.4","34","25"
"BE000006447","50.8","4.35","104.0","1987-01-04","0.33",,"41","25"
"BE000006447","50.8","4.35","104.0","1987-01-05","0.01",,"44","33"
"BE000006447","50.8","4.35","104.0","1987-01-06","0.20",,"39","39"
"BE000006447","50.8","4.35","104.0","1987-01-07","0.01","0.4","31","27"
"BE000006447","50.8","4.35","104.0","1987-01-08","0.00","0.4","34","26"
"BE000006447","50.8","4.35","104.0","1987-01-09","0.00","0.4","30","25"
"BE000006447","50.8","4.35","104.0","1987-01-10","0.01","0.4","28","25"
"BE000006447","50.8","4.35","104.0","1987-01-11","0.00","0.4","15","13"
"BE000006447","50.8","4.35","104.0","1987-01-12","0.01",,"15","8"
"BE000006447","50.8","4.35","104.0","1987-01-13","0.00","0.8","17","9"
"BE000006447","50.8","4.35","104.0","1987-01-14","0.00","0.8","16","10"
"BE000006447","50.8","4.35","104.0","1987-01-15","0.03","0.8","16","9"
"BE000006447","50.8","4.35","104.0","1987-01-16","0.00","0.8","19","8"
"BE000006447","50.8","4.35","104.0","1987-01-17","0.00","0.8","25","15"
"BE000006447","50.8","4.35","104.0","1987-01-18","0.00","0.8","25","19"
"BE000006447","50.8","4.35","104.0","1987-01-19","0.00","0.8","24","22"
"BE000006447","50.8","4.35","104.0","1987-01-20","0.00","0.4","29","22"
"BE000006447","50.8","4.35","104.0","1987-01-21","0.01","0.4","33","23"
"BE000006447","50.8","4.35","104.0","1987-01-22","0.03","0.4","35","23"
"BE000006447","50.8","4.35","104.0","1987-01-23","0.09",,"40","32"
"BE000006447","50.8","4.35","104.0","1987-01-24","0.01",,"37","33"
"BE000006447","50.8","4.35","104.0","1987-01-25","0.03",,"33","31"
"BE000006447","50.8","4.35","104.0","1987-01-26","0.02",,"38","31"
"BE000006447","50.8","4.35","104.0","1987-01-27","0.00",,"31","28"
"BE000006447","50.8","4.35","104.0","1987-01-28","0.00",,"37","27"
"BE000006447","50.8","4.35","104.0","1987-01-29","0.00",,"34","26"
"BE000006447","50.8","4.35","104.0","1987-01-30","0.00",,"28","17"
"BE000006447","50.8","4.35","104.0","1987-01-31","0.00",,"37","15"
"BE000006447","50.8","4.35","104.0","1987-02-01","0.00",,"37","15"
"BE000006447","50.8","4.35","104.0","1987-02-02","0.00",,"42","20"
"BE000006447","50.8","4.35","104.0","1987-02-03","0.00",,"37","27"
"BE000006447","50.8","4.35","104.0","1987-02-04","0.00",,"39","34"
"BE000006447","50.8","4.35","104.0","1987-02-05","0.00",,"42","34"
"BE000006447","50.8","4.35","104.0","1987-02-06","0.50",,"45","36"
"BE000006447","50.8","4.35","104.0","1987-02-07","0.02",,"44","38"
"BE000006447","50.8","4.35","104.0","1987-02-08","0.16",,"47","36"
"BE000006447","50.8","4.35","104.0","1987-02-09","0.04",,"54","40"
"BE000006447","50.8","4.35","104.0","1987-02-10","0.00",,"47","42"
"BE000006447","50.8","4.35","104.0","1987-02-11","0.12",,"44","34"
"BE000006447","50.8","4.35","104.0","1987-02-12","0.02",,"39","34"
"BE000006447","50.8","4.35","104.0","1987-02-13","0.00",,"41","36"
"BE000006447","50.8","4.35","104.0","1987-02-14","0.23",,"43","35"
"BE000006447","50.8","4.35","104.0","1987-02-15","0.87","0.8","35","35"
"BE000006447","50.8","4.35","104.0","1987-02-16","0.00","5.5","35","32"
"BE000006447","50.8","4.35","104.0","1987-02-17","0.00","4.3","35","29"
"BE000006447","50.8","4.35","104.0","1987-02-18","0.15","4.7","32","30"
"BE000006447","50.8","4.35","104.0","1987-02-19","0.00","5.9","31","29"
"BE000006447","50.8","4.35","104.0","1987-02-20","0.02","5.5","31","25"
"BE000006447","50.8","4.35","104.0","1987-02-21","0.00","4.3","36","26"
"BE000006447","50.8","4.35","104.0","1987-02-22","0.05","3.1","38","26"
