"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"DAM00006190","55.063","14.76","15.8","1987-01-01",,,"29",,
"DAM00006190","55.063","14.76","15.8","1987-01-02",,,"25",,
"DAM00006190","55.063","14.76","15.8","1987-01-03",,,"29",,
"DAM00006190","55.063","14.76","15.8","1987-01-04",,,"22",,
"DAM00006190","55.063","14.76","15.8","1987-01-05",,,"35",,
"DAM00006190","55.063","14.76","15.8","1987-01-06",,,"26",,
"DAM00006190","55.063","14.76","15.8","1987-01-07",,,"21",,
"DAM00006190","55.063","14.76","15.8","1987-01-08",,,"28",,
"DAM00006190","55.063","14.76","15.8","1987-01-09",,,"16",,
"DAM00006190","55.063","14.76","15.8","1987-01-10",,,"13",,
"DAM00006190","55.063","14.76","15.8","1987-01-11",,,"15",,
"DAM00006190","55.063","14.76","15.8","1987-01-12",,,"19",,
"DAM00006190","55.063","14.76","15.8","1987-01-13",,,"18",,
"DAM00006190","55.063","14.76","15.8","1987-01-14",,,"21",,
"DAM00006190","55.063","14.76","15.8","1987-01-15",,,"26",,
"DAM00006190","55.063","14.76","15.8","1987-01-16",,,"27",,
"DAM00006190","55.063","14.76","15.8","1987-01-17",,,"27",,
"DAM00006190","55.063","14.76","15.8","1987-01-18",,,"24",,
"DAM00006190","55.063","14.76","15.8","1987-01-19",,,"24",,
"DAM00006190","55.063","14.76","15.8","1987-01-20",,,"22",,
"DAM00006190","55.063","14.76","15.8","1987-01-21",,,"26",,
"DAM00006190","55.063","14.76","15.8","1987-01-22",,,"29",,
"DAM00006190","55.063","14.76","15.8","1987-01-23",,,"30",,
"DAM00006190","55.063","14.76","15.8","1987-01-24",,,"29",,
"DAM00006190","55.063","14.76","15.8","1987-01-25",,,"36",,
"DAM00006190","55.063","14.76","15.8","1987-01-26",,,"28",,
"DAM00006190","55.063","14.76","15.8","1987-01-27",,,"26",,
"DAM00006190","55.063","14.76","15.8","1987-01-28",,,"22",,
"DAM00006190","55.063","14.76","15.8","1987-01-29",,,"17",,
"DAM00006190","55.063","14.76","15.8","1987-01-30",,,"20",,
"DAM00006190","55.063","14.76","15.8","1987-01-31",,,"33",,
"DAM00006190","55.063","14.76","15.8","1987-02-01",,,"31",,
"DAM00006190","55.063","14.76","15.8","1987-02-02",,,"29",,
"DAM00006190","55.063","14.76","15.8","1987-02-03",,,"28",,
"DAM00006190","55.063","14.76","15.8","1987-02-04",,,"29",,
"DAM00006190","55.063","14.76","15.8","1987-02-05",,,"33",,
"DAM00006190","55.063","14.76","15.8","1987-02-06",,,"35",,
"DAM00006190","55.063","14.76","15.8","1987-02-07",,,"31",,
"DAM00006190","55.063","14.76","15.8","1987-02-08",,,"32",,
"DAM00006190","55.063","14.76","15.8","1987-02-09",,,"32",,
"DAM00006190","55.063","14.76","15.8","1987-02-10",,,"34",,
"DAM00006190","55.063","14.76","15.8","1987-02-11",,,"34",,
"DAM00006190","55.063","14.76","15.8","1987-02-12",,,"33",,
"DAM00006190","55.063","14.76","15.8","1987-02-13",,,"32",,
"DAM00006190","55.063","14.76","15.8","1987-02-14",,,"32",,
