"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNWD","TMAX","TMIN"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-01-01","0.56",,"54","45"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-01-02","0.06",,"48","41"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-01-03","0.00",,"37","29"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-01-04","0.27",,"48","31"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-01-05","0.00",,"46","35"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-01-06","0.06",,"42","38"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-01-07","0.02",,"34","29"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-01-08","0.00",,"34","28"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-01-09","0.00",,"32","25"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-01-10","0.00",,"28","19"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-01-11","0.00",,"18","14"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-01-12","0.00",,"17","8"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-01-13","0.00",,"18","11"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-01-14","0.00",,"20","13"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-01-15","0.00",,"18","11"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-01-16","0.00",,"20","16"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-01-17","0.00",,"23","19"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-01-18","0.00",,"26","21"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-01-19","0.00",,"25","21"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-01-20","0.00",,"32","24"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-01-21","0.02",,"34","20"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-01-22","0.00",,"35","32"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-01-23","0.07",,"41","32"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-01-24","0.00",,"39","36"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-01-25","0.00",,"35","32"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-01-26","0.01",,"41","33"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-01-27","0.00",,"32","28"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-01-28","0.00",,"39","27"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-01-29","0.00",,"35","24"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-01-30","0.00",,"29","20"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-01-31","0.00",,"35","14"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-02-01","0.00",,"34","18"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-02-02","0.07",,"37","25"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-02-03","0.00",,"39","34"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-02-04","0.00",,"40","36"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-02-05","0.00",,"41","35"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-02-06","0.65",,"49","38"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-02-07","0.00",,"47","36"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-02-08","0.06",,"51","37"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-02-09","0.18",,"55","44"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-02-10","0.00",,"49","42"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-02-11","0.06",,"46","31"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-02-12","0.02",,"45","36"
