"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNWD","TMAX","TMIN"
"NOE00110653","60.2892","5.2264","48.0","1987-01-01","0.00","15.7","28","15"
"NOE00110653","60.2892","5.2264","48.0","1987-01-02","0.06","15.7","28","12"
"NOE00110653","60.2892","5.2264","48.0","1987-01-03","0.00","16.9","31","18"
"NOE00110653","60.2892","5.2264","48.0","1987-01-04","0.27","16.5","35","17"
"NOE00110653","60.2892","5.2264","48.0","1987-01-05","0.21","20.5","31","27"
"NOE00110653","60.2892","5.2264","48.0","1987-01-06","0.08","20.1","31","20"
"NOE00110653","60.2892","5.2264","48.0","1987-01-07","0.23","21.7","28","18"
"NOE00110653","60.2892","5.2264","48.0","1987-01-08","0.04","29.1","36","25"
"NOE00110653","60.2892","5.2264","48.0","1987-01-09","0.15","26.8","35","17"
"NOE00110653","60.2892","5.2264","48.0","1987-01-10","0.00","29.5","18","4"
"NOE00110653","60.2892","5.2264","48.0","1987-01-11","0.00","28.3","10","1"
"NOE00110653","60.2892","5.2264","48.0","1987-01-12","0.00","27.6","16","-3"
"NOE00110653","60.2892","5.2264","48.0","1987-01-13","0.00","27.2","23","6"
"NOE00110653","60.2892","5.2264","48.0","1987-01-14","0.00","27.2","23","5"
"NOE00110653","60.2892","5.2264","48.0","1987-01-15","0.00","27.2","31","13"
"NOE00110653","60.2892","5.2264","48.0","1987-01-16","0.00","26.4","29","15"
"NOE00110653","60.2892","5.2264","48.0","1987-01-17","0.00","26.4","31","15"
"NOE00110653","60.2892","5.2264","48.0","1987-01-18","0.00","26.4","32","29"
"NOE00110653","60.2892","5.2264","48.0","1987-01-19","0.29","26.4","31","25"
"NOE00110653","60.2892","5.2264","48.0","1987-01-20","0.16","28.3","35","27"
"NOE00110653","60.2892","5.2264","48.0","1987-01-21","0.03","26.8","35","29"
"NOE00110653","60.2892","5.2264","48.0","1987-01-22","0.67","25.6","38","35"
"NOE00110653","60.2892","5.2264","48.0","1987-01-23","0.01","20.5","40","35"
"NOE00110653","60.2892","5.2264","48.0","1987-01-24","0.20","15.7","39","32"
"NOE00110653","60.2892","5.2264","48.0","1987-01-25","0.10","9.8","41","27"
"NOE00110653","60.2892","5.2264","48.0","1987-01-26","0.16","11.0","35","24"
"NOE00110653","60.2892","5.2264","48.0","1987-01-27","0.01","17.7","35","21"
"NOE00110653","60.2892","5.2264","48.0","1987-01-28","0.00","14.2","30","24"
"NOE00110653","60.2892","5.2264","48.0","1987-01-29","0.51","13.4","30","8"
"NOE00110653","60.2892","5.2264","48.0","1987-01-30","0.11","16.1","38","22"
"NOE00110653","60.2892","5.2264","48.0","1987-01-31","0.40","14.6","40","36"
"NOE00110653","60.2892","5.2264","48.0","1987-02-01","0.08","12.6","40","35"
"NOE00110653","60.2892","5.2264","48.0","1987-02-02","0.00","9.8","43","31"
"NOE00110653","60.2892","5.2264","48.0","1987-02-03","0.18","9.8","43","33"
